2023.08.12 00:57:40,239	INFO	290	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.12 00:57:40,239	INFO	290	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.12 00:57:40,239	INFO	290	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.12 00:57:40,239	INFO	290	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.12 01:35:58,418	INFO	290	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.12 01:35:58,419	INFO	290	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.12 01:36:38,982	INFO	309	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.12 01:36:38,983	INFO	309	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.12 01:36:38,983	INFO	309	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.12 01:36:38,983	INFO	309	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.12 01:36:38,983	INFO	309	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.12 01:36:38,983	INFO	309	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.12 01:36:38,983	INFO	309	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.12 01:36:38,983	INFO	309	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.12 03:43:03,480	INFO	309	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.12 03:43:03,483	INFO	309	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.12 03:43:44,900	INFO	366	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.12 03:43:44,900	INFO	366	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.12 03:43:44,900	INFO	366	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.12 03:43:44,900	INFO	366	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.12 03:43:44,901	INFO	366	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.12 03:43:44,901	INFO	366	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.12 03:43:44,901	INFO	366	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.12 03:43:44,901	INFO	366	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.12 03:51:54,234	INFO	366	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.12 03:51:54,234	INFO	366	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.12 03:52:47,769	INFO	369	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.12 03:52:47,769	INFO	369	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.12 03:52:47,769	INFO	369	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.12 03:52:47,769	INFO	369	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.12 03:52:47,769	INFO	369	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.12 03:52:47,769	INFO	369	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.12 03:52:47,769	INFO	369	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.12 03:52:47,769	INFO	369	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.12 03:53:56,077	INFO	369	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.12 03:53:56,077	INFO	369	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.12 03:54:32,352	INFO	371	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.12 03:54:32,353	INFO	371	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.12 03:54:32,353	INFO	371	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.12 03:54:32,353	INFO	371	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.12 03:54:32,353	INFO	371	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.12 03:54:32,353	INFO	371	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.12 03:54:32,353	INFO	371	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.12 03:54:32,353	INFO	371	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.12 03:58:17,271	INFO	371	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.12 03:58:17,272	INFO	371	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.12 03:58:55,963	INFO	374	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.12 03:58:55,963	INFO	374	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.12 03:58:55,963	INFO	374	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.12 03:58:55,963	INFO	374	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.12 03:58:55,963	INFO	374	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.12 03:58:55,963	INFO	374	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.12 03:58:55,963	INFO	374	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.12 03:58:55,963	INFO	374	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
